Glyph Name, Unicode, Character, Description, Glyph Set, Optional,Exclude
plusminus,177,±,PLUS-MINUS SIGN,GF-latin-core,FALSE,FALSE
equal,61,=,EQUALS SIGN,GF-latin-core,FALSE,FALSE
approxequal,8776,≈,ALMOST EQUAL TO,GF-latin-plus,FALSE,FALSE
notequal,8800,≠,NOT EQUAL TO,GF-latin-plus,FALSE,FALSE
less,60,<,LESS-THAN SIGN,GF-latin-core,FALSE,FALSE
greater,62,>,GREATER-THAN SIGN,GF-latin-core,FALSE,FALSE
lessequal,8804,≤,LESS-THAN OR EQUAL TO,GF-latin-plus,FALSE,FALSE
greaterequal,8805,≥,GREATER-THAN OR EQUAL TO,GF-latin-plus,FALSE,FALSE
bracketangleleft,10216,⟨,MATHEMATICAL LEFT ANGLE BRACKET,GF-latin-plus,FALSE,FALSE
bracketangleright,10217,⟩,MATHEMATICAL RIGHT ANGLE BRACKET,GF-latin-plus,FALSE,FALSE
divisionslash,8725,∕,DIVISION SLASH,GF-latin-core,FALSE,FALSE
logicalnot,172,¬,NOT SIGN,GF-latin-core,FALSE,FALSE
mu.math,181,µ,MICRO SIGN,GF-latin-core,FALSE,FALSE
asterisk,42,*,ASTERISK,GF-latin-core,FALSE,FALSE
dagger,8224,†,DAGGER,GF-latin-plus,FALSE,FALSE
daggerdbl,8225,‡,DOUBLE DAGGER,GF-latin-plus,FALSE,FALSE
asciicircum,94,^,CIRCUMFLEX ACCENT,GF-latin-core,FALSE,FALSE
asciitilde,126,~,TILDE,GF-latin-core,FALSE,FALSE
percent,37,%,PERCENT SIGN,GF-latin-core,FALSE,FALSE
perthousand,8240,‰,PER MILLE SIGN,GF-latin-plus,FALSE,FALSE
degree,176,°,DEGREE SIGN,GF-latin-core,FALSE,FALSE
minute,8242,′,PRIME,GF-latin-plus,FALSE,FALSE
second,8243,″,DOUBLE PRIME,GF-latin-plus,FALSE,FALSE
gnrl:hyphen,8208,‐,HYPHEN,GF-latin-plus,FALSE,FALSE
commercialminussign,8274,⁒,COMMERCIAL MINUS SIGN,GF-latin-plus,FALSE,FALSE
ordmasculine,186,º,MASCULINE ORDINAL INDICATOR,GF-latin-core,FALSE,FALSE
ordfeminine,170,ª,FEMININE ORDINAL INDICATOR,GF-latin-core,FALSE,FALSE
copyright,169,©,COPYRIGHT SIGN,GF-latin-core,FALSE,FALSE
registered,174,®,REGISTERED SIGN,GF-latin-core,FALSE,FALSE
trademark,8482,™,TRADE MARK SIGN,GF-latin-plus,FALSE,FALSE
