Glyph Name, Unicode, Character, Description, Glyph Set, Optional
asciitilde,126,~,TILDE,GF-latin-core,0
percent,37,%,PERCENT SIGN,GF-latin-core,0
perthousand,8240,‰,PER MILLE SIGN,GF-latin-plus,0
degree,176,°,DEGREE SIGN,GF-latin-core,0
minute,8242,′,PRIME,GF-latin-plus,0
second,8243,″,DOUBLE PRIME,GF-latin-plus,0
gnrl:hyphen,8208,‐,HYPHEN,GF-latin-plus,0
commercialminussign,8274,⁒,COMMERCIAL MINUS SIGN,GF-latin-plus,0
ordmasculine,186,º,MASCULINE ORDINAL INDICATOR,GF-latin-core,0
ordfeminine,170,ª,FEMININE ORDINAL INDICATOR,GF-latin-core,0
copyright,169,©,COPYRIGHT SIGN,GF-latin-core,0
registered,174,®,REGISTERED SIGN,GF-latin-core,0
trademark,8482,™,TRADE MARK SIGN,GF-latin-plus,0
at,64,@,COMMERCIAL AT,GF-latin-core,0
numbersign,35,#,NUMBER SIGN,GF-latin-core,0
ampersand,38,&,AMPERSAND,GF-latin-core,0
section,167,§,SECTION SIGN,GF-latin-core,0
paragraph,182,¶,PILCROW SIGN,GF-latin-core,0
pi,960,π,GREEK SMALL LETTER PI,GF-latin-pro,0
litre,8467,ℓ,SCRIPT SMALL L,GF-latin-pro,0
ohm,8486,Ω,OHM SIGN,GF-latin-pro,0
estimated,8494,℮,ESTIMATED SYMBOL,GF-latin-pro,0
partialdiff,8706,∂,PARTIAL DIFFERENTIAL,GF-latin-pro,0
emptyset,8709,∅,EMPTY SET,GF-latin-pro,0
increment,8710,∆,INCREMENT,GF-latin-pro,0
product,8719,∏,N-ARY PRODUCT,GF-latin-pro,0
summation,8721,∑,N-ARY SUMMATION,GF-latin-pro,0
radical,8730,√,SQUARE ROOT,GF-latin-pro,0
infinity,8734,∞,INFINITY,GF-latin-pro,0
integral,8747,∫,INTEGRAL,GF-latin-pro,0
lozenge,9674,◊,LOZENGE,GF-latin-pro,0
zero.dnom,,,,GF-latin-pro,0
one.dnom,,,,GF-latin-pro,0
two.dnom,,,,GF-latin-pro,0
three.dnom,,,,GF-latin-pro,0
four.dnom,,,,GF-latin-pro,0
five.dnom,,,,GF-latin-pro,0
six.dnom,,,,GF-latin-pro,0
seven.dnom,,,,GF-latin-pro,0
eight.dnom,,,,GF-latin-pro,0
nine.dnom,,,,GF-latin-pro,0
zero.numr,,,,GF-latin-pro,0
one.numr,,,,GF-latin-pro,0
two.numr,,,,GF-latin-pro,0
three.numr,,,,GF-latin-pro,0
four.numr,,,,GF-latin-pro,0
five.numr,,,,GF-latin-pro,0
six.numr,,,,GF-latin-pro,0
seven.numr,,,,GF-latin-pro,0
eight.numr,,,,GF-latin-pro,0
nine.numr,,,,GF-latin-pro,0
zero.subs,,,,GF-latin-pro,0
one.subs,,,,GF-latin-pro,0
two.subs,,,,GF-latin-pro,0
three.subs,,,,GF-latin-pro,0
four.subs,,,,GF-latin-pro,0
five.subs,,,,GF-latin-pro,0
six.subs,,,,GF-latin-pro,0
seven.subs,,,,GF-latin-pro,0
eight.subs,,,,GF-latin-pro,0
nine.subs,,,,GF-latin-pro,0
zero.superior,8304,⁰,SUPERSCRIPT ZERO,GF-latin-pro,0
onesuperior,185,¹,SUPERSCRIPT ONE,GF-latin-core,0
twosuperior,178,²,SUPERSCRIPT TWO,GF-latin-core,0
threesuperior,179,³,SUPERSCRIPT THREE,GF-latin-core,0
four.superior,8308,⁴,SUPERSCRIPT FOUR,GF-latin-core,0
five.superior,8309,⁵,SUPERSCRIPT FIVE,GF-latin-pro,0
six.superior,8310,⁶,SUPERSCRIPT SIX,GF-latin-pro,0
seven.superior,8311,⁷,SUPERSCRIPT SEVEN,GF-latin-pro,0
eight.superior,8312,⁸,SUPERSCRIPT EIGHT,GF-latin-pro,0
nine.superior,8313,⁹,SUPERSCRIPT NINE,GF-latin-pro,0
zero.inferior,8320,₀,SUBSCRIPT ZERO,GF-latin-pro,0
one.inferior,8321,₁,SUBSCRIPT ONE,GF-latin-pro,0
two.inferior,8322,₂,SUBSCRIPT TWO,GF-latin-pro,0
three.inferior,8323,₃,SUBSCRIPT THREE,GF-latin-pro,0
four.inferior,8324,₄,SUBSCRIPT FOUR,GF-latin-pro,0
five.inferior,8325,₅,SUBSCRIPT FIVE,GF-latin-pro,0
six.inferior,8326,₆,SUBSCRIPT SIX,GF-latin-pro,0
seven.inferior,8327,₇,SUBSCRIPT SEVEN,GF-latin-pro,0
eight.inferior,8328,₈,SUBSCRIPT EIGHT,GF-latin-pro,0
nine.inferior,8329,₉,SUBSCRIPT NINE,GF-latin-pro,0
onehalf,189,½,VULGAR FRACTION ONE HALF,GF-latin-core,0
onethird,8531,⅓,VULGAR FRACTION ONE THIRD,GF-latin-expert,0
onequarter,188,¼,VULGAR FRACTION ONE QUARTER,GF-latin-core,0
oneeighth,8539,⅛,VULGAR FRACTION ONE EIGHTH,GF-latin-expert,0
twothirds,8532,⅔,VULGAR FRACTION TWO THIRDS,GF-latin-expert,0
threequarters,190,¾,VULGAR FRACTION THREE QUARTERS,GF-latin-core,0
threeeighths,8540,⅜,VULGAR FRACTION THREE EIGHTHS,GF-latin-expert,0
fiveeighths,8541,⅝,VULGAR FRACTION FIVE EIGHTHS,GF-latin-expert,0
seveneighths,8542,⅞,VULGAR FRACTION SEVEN EIGHTHS,GF-latin-expert,0
dieresis,168,¨,DIAERESIS,GF-latin-core,0
grave,96,`,GRAVE ACCENT,GF-latin-core,0
macron,175,¯,MACRON,GF-latin-core,0
acute,180,´,ACUTE ACCENT,GF-latin-core,0
cedilla,184,¸,CEDILLA,GF-latin-core,0
circumflex,710,ˆ,MODIFIER LETTER CIRCUMFLEX ACCENT,GF-latin-core,0
ring,730,˚,RING ABOVE,GF-latin-core,0
tilde,732,˜,SMALL TILDE,GF-latin-core,0
primemod,697,ʹ,MODIFIER LETTER PRIME,GF-latin-plus,0
primedblmod,698,ʺ,MODIFIER LETTER DOUBLE PRIME,GF-latin-plus,0
apostrophemod,700,ʼ,MODIFIER LETTER APOSTROPHE,GF-latin-plus,0
caron,711,ˇ,CARON,GF-latin-plus,0
breve,728,˘,BREVE,GF-latin-plus,0
dotaccent,729,˙,DOT ABOVE,GF-latin-plus,0
ogonek,731,˛,OGONEK,GF-latin-plus,0
hungarumlaut,733,˝,DOUBLE ACUTE ACCENT,GF-latin-plus,0
gravecmb,768,̀,COMBINING GRAVE ACCENT,GF-latin-plus,0
acutecmb,769,́,COMBINING ACUTE ACCENT,GF-latin-plus,0
circumflexcmb,770,̂,COMBINING CIRCUMFLEX ACCENT,GF-latin-plus,0
tildecmb,771,̃,COMBINING TILDE,GF-latin-plus,0
macroncmb,772,̄,COMBINING MACRON,GF-latin-plus,0
brevecmb,774,̆,COMBINING BREVE,GF-latin-plus,0
dotaccentcmb,775,̇,COMBINING DOT ABOVE,GF-latin-plus,0
dieresiscmb,776,̈,COMBINING DIAERESIS,GF-latin-plus,0
hookabovecmb,777,̉,COMBINING HOOK ABOVE,GF-latin-plus,0
ringabovecmb,778,̊,COMBINING RING ABOVE,GF-latin-plus,0
hungarumlautcmb,779,̋,COMBINING DOUBLE ACUTE ACCENT,GF-latin-plus,0
caroncmb,780,̌,COMBINING CARON,GF-latin-plus,0
gravedoublecmb,783,̏,COMBINING DOUBLE GRAVE ACCENT,GF-latin-plus,0
invertedbrevecmb,785,̑,COMBINING INVERTED BREVE,GF-latin-plus,0
commaturnedabovecmb,786,̒,COMBINING TURNED COMMA ABOVE,GF-latin-plus,0
horncmb,795,̛,COMBINING HORN,GF-latin-plus,0
dotbelowcombcmb,803,̣,COMBINING DOT BELOW,GF-latin-plus,0
dieresisbelowcmb,804,̤,COMBINING DIAERESIS BELOW,GF-latin-plus,0
commaaccentbelowcmb,806,̦,COMBINING COMMA BELOW,GF-latin-plus,0
cedillacmb,807,̧,COMBINING CEDILLA,GF-latin-plus,0
ogonekcmb,808,̨,COMBINING OGONEK,GF-latin-plus,0
belowbrevecmb,814,̮,COMBINING BREVE BELOW,GF-latin-plus,0
macronbelowcmb,817,̱,COMBINING MACRON BELOW,GF-latin-plus,0
overlaystrokeshortcmb,821,̵,COMBINING SHORT STROKE OVERLAY,GF-latin-plus,0
circumflexcomb_acutecomb,,,,GF-latin-plus,0
circumflexcomb_gravecomb,,,,GF-latin-plus,0
circumflexcomb_hookabovecomb,,,,GF-latin-plus,0
circumflexcomb_tildecomb,,,,GF-latin-plus,0
brevecomb_acutecomb,,,,GF-latin-plus,0
brevecomb_gravecomb,,,,GF-latin-plus,0
brevecomb_hookabovecomb,,,,GF-latin-plus,0
brevecomb_tildecomb,,,,GF-latin-plus,0
idotaccent,,,,GF-latin-plus,0
caroncomb.alt,,,,GF-latin-plus,0
periodcentered.loclCAT,,,,GF-latin-plus,0
Aacute,193,Á,LATIN CAPITAL LETTER A WITH ACUTE,GF-latin-core,0
Abreve,258,Ă,LATIN CAPITAL LETTER A WITH BREVE,GF-latin-plus,0
Abreveacute,7854,Ắ,LATIN CAPITAL LETTER A WITH BREVE AND ACUTE,GF-latin-plus,0
Abrevedotbelow,7862,Ặ,LATIN CAPITAL LETTER A WITH BREVE AND DOT BELOW,GF-latin-plus,0
Abrevegrave,7856,Ằ,LATIN CAPITAL LETTER A WITH BREVE AND GRAVE,GF-latin-plus,0
Abrevehoi,7858,Ẳ,LATIN CAPITAL LETTER A WITH BREVE AND HOOK ABOVE,GF-latin-plus,0
Abrevetilde,7860,Ẵ,LATIN CAPITAL LETTER A WITH BREVE AND TILDE,GF-latin-plus,0
Acircumflex,194,Â,LATIN CAPITAL LETTER A WITH CIRCUMFLEX,GF-latin-core,0
Acircumflexacute,7844,Ấ,LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND ACUTE,GF-latin-plus,0
